Semana,Seguidores_PSOE,Seguidos_PSOE,Seguidores_Podemos,Seguidos_Podemos,Seguidores_PP,Seguidos_PP,Seguidores_Vox,Seguidos_Vox
20-06-2016,2659,15,,,,,,
27-06-2016,1751,-2,,,,,,
04-07-2016,1714,-4,,,,,,
11-07-2016,2122,-4,,,,,,
18-07-2016,1837,-1,,,,,,
25-07-2016,1408,17,,,,,,
01-08-2016,1410,-5,,,,,,
08-08-2016,1110,-1,,,,,,
15-08-2016,933,0,,,,,,
22-08-2016,865,6,,,,,,
29-08-2016,1842,3,,,,,,
05-09-2016,939,-2,,,,,,
12-09-2016,884,1,,,,,,
19-09-2016,1058,-1,,,,,,
26-09-2016,5492,-2,,,,,,
03-10-2016,1340,-4,,,,,,
10-10-2016,1485,14,,,,,,
17-10-2016,2972,-1,,,,,,
24-10-2016,2779,-5,,,,,,
31-10-2016,1274,2,,,,,,
07-11-2016,1233,1,,,,,,
14-11-2016,949,7,,,,,,
21-11-2016,1240,1,,,,,,
28-11-2016,905,0,,,,,,
05-12-2016,926,-5,,,,,,
12-12-2016,470,1,,,,,,
19-12-2016,642,-2,,,,,,
26-12-2016,573,-3,,,,,,
02-01-2017,698,-5,,,,,,
09-01-2017,681,-8,,,,,,
16-01-2017,713,1,,,,,,
23-01-2017,1133,0,,,,,,
30-01-2017,1024,-6,,,,,,
06-02-2017,1194,-1,,,,,,
13-02-2017,1080,-4,,,,,,
20-02-2017,1431,-2,,,,,,
27-02-2017,1596,-2,,,,,,
06-03-2017,1176,0,,,,,,
13-03-2017,1018,-7,,,,,,
20-03-2017,1164,-8,,,,,,
27-03-2017,1222,-1,,,,,,
03-04-2017,1058,-4,,,,,,
10-04-2017,1160,-2,,,,,,
17-04-2017,1063,-2,,,,,,
24-04-2017,881,-3,,,,,,
01-05-2017,720,-5,,,,,,
08-05-2017,824,-1,,,,,,
15-05-2017,976,-1,,,,,,
22-05-2017,1461,-3,940,8,1207,7,209,5
29-05-2017,1200,4,1079,0,945,3,69,7
05-06-2017,1129,-2,755,0,722,3,107,9
12-06-2017,1778,14,1890,0,1324,3,105,2
19-06-2017,1296,0,1643,2,962,76,97,8
26-06-2017,1280,-1,1521,0,925,1,165,2
03-07-2017,1479,2,2379,5,911,15,111,6
10-07-2017,1510,-1,2211,21,900,9,109,4
17-07-2017,1341,2,2154,0,1027,16,106,-1
24-07-2017,1275,9,1991,3,1123,12,138,-2
31-07-2017,1388,-4,2459,-1,1105,0,177,6
07-08-2017,1546,-3,2303,0,1012,0,89,1
14-08-2017,5095,0,6553,1,3458,4,1027,5
21-08-2017,2696,0,4253,3,1479,3,791,25
28-08-2017,2064,-2,3377,0,1064,20,337,5
