Semana,Seguidores,Seguidos,Media
22-05-2017,209,5,113
29-05-2017,69,7,84
05-06-2017,107,9,121
12-06-2017,105,2,71
19-06-2017,97,8,127
26-06-2017,165,2,172
03-07-2017,111,6,77
10-07-2017,109,4,112
17-07-2017,106,-1,70
24-07-2017,138,-2,86
31-07-2017,177,6,168
08-08-2017,89,1,12
14-08-2017,1027,5,159
21-08-2017,791,25,264
28-08-2017,337,5,58
04-09-2017,406,7,289
12-09-2017,357,9,172
18-09-2017,665,7,283
25-09-2017,1017,4,325
02-10-2017,1955,7,208
09-10-2017,1022,14,224
16-10-2017,739,1,149
23-10-2017,735,3,230
30-10-2017,481,7,143
06-11-2017,508,10,164
13-11-2017,295,4,130
20-11-2017,266,9,133
27-11-2017,200,4,141
04-12-2017,162,4,102
16-12-2017,22,0,8
18-12-2017,182,9,143
25-12-2017,220,75,57
01-01-2018,306,12,123
08-01-2018,209,2,135
15-01-2018,186,8,121
22-01-2018,141,6,156
29-01-2018,177,11,99
05-02-2018,168,8,90
12-02-2018,158,7,115
19-02-2018,406,15,191
26-02-2018,390,7,111
05-03-2018,321,2,330
12-03-2018,672,0,203
19-03-2018,1258,7,253
27-03-2018,384,5,63
02-04-2018,1036,10,187
09-04-2018,511,9,131
16-04-2018,876,10,224
23-04-2018,520,9,149
30-04-2018,428,6,163
07-05-2018,650,3,181
14-05-2018,753,0,156
21-05-2018,744,27,139
28-05-2018,1801,7,203
04-06-2018,879,14,153
11-06-2018,1080,3,177
18-06-2018,583,10,122
25-06-2018,473,4,118
02-07-2018,401,1,111
09-07-2018,274,7,149
16-07-2018,481,8,129
23-07-2018,1232,11,156
30-07-2018,896,9,86
06-08-2018,910,4,91
13-08-2018,706,-525,64
20-08-2018,1436,6,138
27-08-2018,724,3,66
03-09-2018,718,5,135
10-09-2018,835,3,153
17-09-2018,835,5,132
24-09-2018,760,8,142
01-10-2018,1003,6,123
08-10-2018,4467,8,171
15-10-2018,1647,9,103
22-10-2018,2012,5,160
29-10-2018,2451,3,158
05-11-2018,1646,1,29
12-11-2018,2854,15,331
19-11-2018,1567,4,201
26-11-2018,2781,8,374
03-12-2018,15320,12,380
10-12-2018,4757,5,142
17-12-2018,4972,2,169
24-12-2018,4438,7,172
31-12-2018,5245,0,147
07-01-2019,6001,3,264
14-01-2019,3653,4,144
21-01-2019,2528,0,73
28-01-2019,1941,0,122
04-02-2019,2332,2,110
11-02-2019,3999,4,109
18-02-2019,3918,2,187
25-02-2019,2414,5,102
04-03-2019,3680,3,218
11-03-2019,2544,3,154
18-03-2019,2737,9,264
25-03-2019,3351,-2,286
01-04-2019,3265,0,278
08-04-2019,3797,3,290
15-04-2019,5372,4,223
22-04-2019,12290,9,375
29-04-2019,4406,1,97
06-05-2019,1291,-1,201
14-05-2019,560,1,146
20-05-2019,1450,2,293
27-05-2019,1748,-1,163
03-06-2019,855,5,174
10-06-2019,817,3,238
17-06-2019,881,2,174
24-06-2019,911,3,136
01-07-2019,1024,3,143
08-07-2019,751,16,137
15-07-2019,881,3,181
22-07-2019,3028,3,170
29-07-2019,1421,4,58
05-08-2019,1575,4,144
12-08-2019,1345,3,128
19-08-2019,1799,4,83
26-08-2019,1631,3,179
02-09-2019,2098,5,148
09-09-2019,1481,8,193
16-09-2019,2096,1,193
23-09-2019,2201,2,136
30-09-2019,1477,-3,142
07-10-2019,5199,8,296
14-10-2019,9544,5,353
21-10-2019,4220,3,357
28-10-2019,3889,2,316
04-11-2019,9321,8,439
11-11-2019,14322,8,188
18-11-2019,10336,10,157
25-11-2019,2396,3,194
02-12-2019,1497,1,190
09-12-2019,1364,2,163
16-12-2019,1113,-3,156
23-12-2019,1365,1,133
30-12-2019,3188,-1,282
06-01-2020,4552,7,196
13-01-2020,2564,0,259
20-01-2020,4576,3,60
27-01-2020,605,5,-5
03-02-2020,144,0,-3
10-02-2020,244,-2,0
17-02-2020,70,-2,0
24-02-2020,119,-1,-9
02-03-2020,271,0,0
09-03-2020,2163,1,137
16-03-2020,1148,1,181
23-03-2020,1951,2,154
30-03-2020,1875,0,249
06-04-2020,2315,-8,252
13-04-2020,1832,24,194
20-04-2020,2092,-2,237
27-04-2020,1274,2,191
04-05-2020,1011,1,226
11-05-2020,785,-1,257
18-05-2020,1562,3,358
25-05-2020,856,-1,167
01-06-2020,3491,5,143
08-06-2020,-102,0,156
15-06-2020,-1,1,163
22-06-2020,536,2,227
29-06-2020,416,1,201
06-07-2020,71,3,243
13-07-2020,319,0,138
20-07-2020,62,3,168
27-07-2020,626,1,183
03-08-2020,739,4,145
10-08-2020,408,2,141
17-08-2020,365,-5,85
24-08-2020,123,-2,106
31-08-2020,47,3,154
07-09-2020,381,8,209
14-09-2020,68,-2,217
21-09-2020,255,2,159
28-09-2020,1021,4,279
05-10-2020,623,0,138
12-10-2020,817,-3,206
19-10-2020,2048,-1,-35
